city,type,bedrooms,bathrooms,area,price
Gampaha,apartment,3,4,4522,90800000.0
Kurunegala,house,3,3,4194,58400000.0
Kandy,apartment,5,2,3141,72100000.0
Negombo,house,4,5,1934,44900000.0
Negombo,house,1,1,1224,24800000.0
Kurunegala,house,4,3,2649,40800000.0
Galle,house,3,3,3638,66300000.0
Battaramulla,land,0,0,9433,156700000.0
Kurunegala,house,4,4,2228,37100000.0
Kandy,house,1,2,2335,41500000.0
Rajagiriya,house,2,2,2250,71200000.0
Kurunegala,house,2,2,1745,26200000.0
Kandy,house,4,1,1087,24500000.0
Kandy,house,4,4,1129,27400000.0
Colombo,house,1,2,2777,98600000.0
Dehiwala,apartment,3,3,4311,134900000.0
Galle,land,0,0,9392,113100000.0
Rajagiriya,house,5,3,3481,109500000.0
Dehiwala,house,5,6,3440,102100000.0
Kurunegala,house,3,1,956,16800000.0
Kurunegala,house,3,3,1613,27200000.0
Battaramulla,house,4,5,2428,71000000.0
Battaramulla,land,0,0,4157,72500000.0
Kurunegala,apartment,1,1,3443,51900000.0
Battaramulla,apartment,3,4,2279,71300000.0
Galle,house,1,1,2056,37200000.0
Battaramulla,house,3,3,1459,42600000.0
Galle,house,1,1,1413,27700000.0
Negombo,house,1,2,2603,52700000.0
Battaramulla,house,2,3,2386,61900000.0
Colombo,house,2,2,1604,59800000.0
Colombo,apartment,2,1,2457,106600000.0
Negombo,house,4,3,4005,79000000.0
Negombo,house,4,2,947,24800000.0
Colombo,house,3,2,3261,115100000.0
Battaramulla,house,4,3,2119,59900000.0
Dehiwala,house,4,1,3726,99100000.0
Gampaha,land,0,0,5736,61300000.0
Galle,house,2,3,1012,23600000.0
Kurunegala,land,0,0,3049,26900000.0
Nugegoda,land,0,0,8158,129200000.0
Dehiwala,apartment,3,4,3941,131600000.0
Battaramulla,house,4,4,1003,32400000.0
Galle,apartment,5,2,4527,103800000.0
Galle,house,4,1,2050,40500000.0
Kandy,apartment,3,1,3854,79800000.0
Dehiwala,apartment,5,3,3235,111900000.0
Rajagiriya,house,1,2,1709,53200000.0
Dehiwala,house,1,2,766,23800000.0
Nugegoda,apartment,4,1,1810,59400000.0
Colombo,house,3,4,1889,73100000.0
Nugegoda,house,1,2,4144,95500000.0
Galle,house,2,3,2645,48800000.0
Rajagiriya,apartment,2,3,904,35600000.0
Kurunegala,apartment,1,1,3556,53300000.0
Rajagiriya,apartment,5,4,3700,135800000.0
Battaramulla,apartment,4,3,1916,63400000.0
Rajagiriya,house,3,1,4519,132600000.0
Negombo,house,1,2,4604,85200000.0
Nugegoda,house,5,4,3801,103500000.0
Gampaha,house,5,4,4892,86600000.0
Kandy,apartment,5,2,1385,36900000.0
Dehiwala,apartment,3,4,2119,68600000.0
Nugegoda,house,1,2,1762,42100000.0
Kurunegala,house,2,2,1309,20100000.0
Nugegoda,apartment,5,5,3044,92100000.0
Kurunegala,house,5,6,3494,54600000.0
Nugegoda,house,4,5,3709,92400000.0
Nugegoda,house,1,2,2507,62100000.0
Kurunegala,apartment,5,4,3599,61800000.0
Kurunegala,apartment,2,1,1765,29900000.0
Battaramulla,apartment,2,1,1645,52100000.0
Battaramulla,house,2,3,3177,79200000.0
Dehiwala,apartment,4,3,4663,144500000.0
Rajagiriya,house,2,3,3524,100200000.0
Kandy,house,2,2,3819,68200000.0
Galle,house,2,1,2266,44400000.0
Kandy,apartment,5,5,3558,81200000.0
Nugegoda,apartment,3,1,1872,56700000.0
Rajagiriya,house,5,4,4190,131100000.0
Gampaha,apartment,1,2,4702,88200000.0
Galle,house,3,3,1145,28200000.0
Dehiwala,house,4,4,4327,119700000.0
Nugegoda,house,4,1,3688,89200000.0
Nugegoda,apartment,1,1,2906,86300000.0
Kurunegala,house,2,1,1482,21500000.0
Rajagiriya,land,0,0,8241,167000000.0
Colombo,house,5,2,3743,146000000.0
Rajagiriya,house,5,6,3136,102100000.0
Colombo,apartment,1,1,2074,91900000.0
Negombo,apartment,3,1,3673,85300000.0
Kurunegala,land,0,0,5268,42100000.0
Kurunegala,apartment,5,1,2708,48700000.0
Galle,house,1,1,1573,29300000.0
Nugegoda,land,0,0,4627,78100000.0
Nugegoda,house,5,3,3561,88500000.0
Dehiwala,apartment,1,2,2006,61900000.0
Colombo,apartment,3,4,1220,57000000.0
